x,y,genre
-24.550686,-0.06188232,hip hop
34.400883,-2.1289122,pop
-27.097105,6.0520306,Dance/Electronic
-14.4224415,6.52759,pop
-33.48109,10.984316,rock
-29.291304,8.469765,pop
33.77954,-6.3713484,R&B
-15.350985,-15.361964,pop
-25.57363,6.757686,pop
-61.786156,7.339291,Dance/Electronic
33.396034,14.577887,Dance/Electronic
-26.44328,4.485921,Dance/Electronic
29.254814,14.016444,pop
34.382397,-2.1194017,pop
-23.150314,-5.041304,pop
30.109224,-3.5028167,pop
-42.35858,9.576942,pop
-21.459,2.5315557,pop
-26.886492,2.7111354,Dance/Electronic
36.082874,-5.7389894,Dance/Electronic
39.134327,10.381049,hip hop
33.336174,12.046837,pop
-26.366238,7.8972673,latin
35.9127,-3.7851508,pop
-26.290386,2.1384788,Dance/Electronic
31.961445,13.494569,Dance/Electronic
-19.262403,7.2031426,pop
-35.680786,-8.563913,R&B
34.960155,6.717933,Dance/Electronic
-63.26691,6.032942,rock
-59.484665,2.377919,Dance/Electronic
-38.947704,9.412562,pop
-20.544758,-3.4018226,hip hop
62.809704,6.1555905,pop
-31.603561,-9.073578,pop
21.925571,8.5489645,R&B
-20.238401,4.1227508,Dance/Electronic
-19.467318,1.8192608,Dance/Electronic
-22.526684,-0.41393754,pop
-59.342457,2.061193,pop
-22.46233,3.8428679,Dance/Electronic
44.920208,-14.008454,Dance/Electronic
37.54268,2.2649379,Dance/Electronic
52.465427,9.637431,Dance/Electronic
-26.1763,-1.7398486,rock
-17.410522,6.749267,Dance/Electronic
-19.920597,4.7907367,Dance/Electronic
-19.00728,4.9820786,pop
-31.644686,-6.539396,pop
33.71268,-4.6822143,R&B
-58.55622,-0.25623274,Dance/Electronic
34.025043,4.320939,R&B
33.336205,12.047064,pop
32.417343,-5.484733,R&B
34.96031,6.7182183,Dance/Electronic
-42.31014,9.578259,latin
-18.557152,4.590523,pop
28.466242,1.6044463,pop
-21.346262,2.2728283,pop
-18.670597,-1.8638202,hip hop
-34.93851,-5.9261465,rock
-34.861153,-5.1291842,rock
45.536087,-9.364921,Dance/Electronic
59.51055,11.623745,pop
44.920208,-14.008454,Dance/Electronic
-39.122772,8.35638,Dance/Electronic
-23.82093,-1.0608258,Dance/Electronic
-16.227411,5.5157213,hip hop
45.769855,-9.035154,Dance/Electronic
33.044197,-6.409785,Dance/Electronic
-19.600193,-2.8688185,R&B
-38.052204,-6.4941816,pop
45.89071,-13.49076,pop
32.667408,-8.129134,hip hop
-62.352844,7.073061,hip hop
31.968578,1.7967669,hip hop
58.21961,12.493104,Dance/Electronic
-34.861153,-5.1291842,rock
34.531162,5.813691,Dance/Electronic
63.891224,4.8349366,R&B
-31.154411,-5.915352,pop
-23.913248,8.559686,Dance/Electronic
63.09751,8.399983,pop
-13.59348,5.889042,Dance/Electronic
-19.832249,2.1854556,R&B
60.143177,9.297448,Dance/Electronic
43.415783,-11.973602,pop
-59.690605,0.6218771,Dance/Electronic
-13.181638,4.6349177,pop
-34.16962,-11.206821,latin
-21.74354,8.195263,hip hop
-58.784946,-0.07462499,hip hop
36.03098,4.2159677,Dance/Electronic
60.487103,10.587582,Dance/Electronic
30.564844,12.508834,pop
33.680145,13.69518,Dance/Electronic
-16.526075,0.47206384,hip hop
48.488728,-8.548316,rock
-17.942928,-0.21909475,hip hop
-20.310505,4.7852654,Dance/Electronic
-10.104515,2.1962194,hip hop
17.416103,4.0911307,pop
-42.398182,-10.940417,Dance/Electronic
-58.317043,-1.6066334,R&B
27.922533,-12.954542,hip hop
31.411032,-3.8810415,pop
-61.33337,-0.64572626,R&B
-18.99497,-13.616918,Dance/Electronic
37.32099,-10.784236,Dance/Electronic
-43.394836,-15.377868,pop
31.10198,-5.059784,hip hop
-36.451473,-11.365779,hip hop
-24.622984,4.9679813,hip hop
-21.972374,0.83513755,R&B
