artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Gigi D'Agostino,L'Amour Toujours,238759,False,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
Wiz Khalifa,Roll Up,227773,True,2011,63,0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358,hip hop
Pitbull,International Love (feat. Chris Brown),227280,False,2011,74,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,latin
Drake,The Motto,181573,True,2011,74,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,R&B
Kelly Clarkson,Stronger (What Doesn't Kill You),221946,False,2011,74,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,R&B
Rihanna,Where Have You Been,242680,False,2011,71,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.223,0.444,127.963,R&B
JAY-Z,Ni**as In Paris,219333,True,2011,82,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,hip hop
Skrillex,Bangarang (feat. Sirah),215253,True,2011,70,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,Dance/Electronic
Gym Class Heroes,Ass Back Home (feat. Neon Hitch),222213,True,2011,61,0.716,0.838,10,-4.289,1,0.0513,0.134,0.0,0.148,0.646,130.034,hip hop
Coldplay,Princess of China,239215,False,2011,66,0.42,0.69,9,-6.221,0,0.0347,0.00385,0.015,0.287,0.237,85.014,rock
LMFAO,Sexy And I Know It,199480,False,2011,67,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,Dance/Electronic
Avicii,Levels - Radio Edit,199906,False,2011,77,0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,Dance/Electronic
Alex Clare,Too Close,256613,False,2011,60,0.588,0.694,11,-4.278,0,0.0387,0.00948,0.0,0.113,0.271,126.027,rock
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333,True,2011,77,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,hip hop
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,218190,False,2011,68,0.578,0.946,11,-3.85,0,0.0482,0.00225,0.00412,0.0966,0.588,126.092,rock
Jessie J,Domino,231840,False,2011,74,0.758,0.557,7,-4.568,1,0.034,0.0117,0.0,0.0418,0.781,126.986,hip hop
Adele,Rumour Has It,223266,False,2011,0,0.612,0.748,0,-5.014,1,0.0445,0.617,0.0,0.167,0.574,120.052,R&B
Rihanna,We Found Love,215226,False,2011,75,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,R&B
Jessie J,Price Tag,223053,False,2011,73,0.636,0.831,5,-3.945,1,0.182,0.0294,3.85e-06,0.272,0.668,175.015,hip hop
Christina Perri,A Thousand Years,285120,False,2011,70,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,pop
Lil Wayne,How To Love,240306,False,2011,0,0.644,0.661,11,-6.093,1,0.0418,0.000177,5.23e-06,0.108,0.272,153.992,hip hop
Bad Meets Evil,Lighters,303813,True,2011,68,0.676,0.695,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268,hip hop
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),222586,True,2011,71,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,R&B
Lupe Fiasco,The Show Goes On,239613,True,2011,70,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,hip hop
James Morrison,I Won't Let You Go,229303,False,2011,64,0.537,0.611,0,-6.427,1,0.0304,0.229,0.0,0.146,0.161,105.955,R&B
Jason Derulo,It Girl,192200,False,2011,70,0.668,0.718,1,-4.736,0,0.0605,0.0165,0.0,0.104,0.345,91.993,hip hop
Adele,Someone Like You,285240,False,2011,4,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,R&B
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,282400,False,2011,65,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,rock
Blake Shelton,Honey Bee,210720,False,2011,50,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,country
Lady Gaga,The Edge Of Glory,320546,False,2011,67,0.583,0.768,9,-6.477,1,0.041,0.000323,0.0162,0.109,0.357,127.952,pop
Lady A,Just A Kiss,218840,False,2011,63,0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881,country
Hot Chelle Rae,Tonight Tonight,200466,False,2011,73,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,rock
Grouplove,Tongue Tied,218013,False,2011,79,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,rock
Coldplay,Every Teardrop Is a Waterfall,240796,False,2011,69,0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98,rock
Beyoncé,Best Thing I Never Had,253746,False,2011,69,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099,R&B
Christina Perri,Jar of Hearts,246587,False,2011,72,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,pop
Charlene Soraia,Wherever You Will Go,197577,False,2011,60,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202,pop
DJ Khaled,I'm On One,296146,True,2011,70,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33,hip hop
Example,Changed the Way You Kiss Me - Radio Edit,195466,False,2011,42,0.578,0.857,4,-3.78,0,0.041,0.00548,0.00162,0.0948,0.188,126.979,Dance/Electronic
Dr. Dre,I Need A Doctor,283733,True,2011,71,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826,hip hop
Snoop Dogg,Sweat - Remix,195986,False,2011,68,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02,hip hop
Jennifer Lopez,On The Floor,284866,False,2011,79,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,R&B
Alexandra Stan,Mr. Saxobeat,195105,False,2011,0,0.726,0.931,11,-4.152,0,0.0468,0.0218,0.000283,0.143,0.797,126.976,Dance/Electronic
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),234453,False,2011,71,0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024,latin
